"Step","saturate_moe1Bsparse_15B - throughput/device/TPS","saturate_moe1Bsparse_15B - throughput/device/TPS__MIN","saturate_moe1Bsparse_15B - throughput/device/TPS__MAX","saturate_moe1Bolmo_15B - throughput/device/TPS","saturate_moe1Bolmo_15B - throughput/device/TPS__MIN","saturate_moe1Bolmo_15B - throughput/device/TPS__MAX","saturate_135M_15B_03 - throughput/device/TPS","saturate_135M_15B_03 - throughput/device/TPS__MIN","saturate_135M_15B_03 - throughput/device/TPS__MAX","saturate_271M_15_2_cont - throughput/device/TPS","saturate_271M_15_2_cont - throughput/device/TPS__MIN","saturate_271M_15_2_cont - throughput/device/TPS__MAX","saturate_271M_15B_2 - throughput/device/TPS","saturate_271M_15B_2 - throughput/device/TPS__MIN","saturate_271M_15B_2 - throughput/device/TPS__MAX"
"124","96114.7890625","96114.7890625","96114.7890625","51323.51171875","51323.51171875","51323.51171875","188960.234375","188960.234375","188960.234375","","","","96175.9296875","96175.9296875","96175.9296875"
"125","95200.71875","95200.71875","95200.71875","51298.6015625","51298.6015625","51298.6015625","189591.875","189591.875","189591.875","","","","95681.71875","95681.71875","95681.71875"
"126","94923.4140625","94923.4140625","94923.4140625","51268.0546875","51268.0546875","51268.0546875","188897.359375","188897.359375","188897.359375","","","","96099.046875","96099.046875","96099.046875"
"127","95103.6328125","95103.6328125","95103.6328125","51338.3515625","51338.3515625","51338.3515625","189706.671875","189706.671875","189706.671875","","","","96115.5234375","96115.5234375","96115.5234375"
"128","94891.90625","94891.90625","94891.90625","51333.21484375","51333.21484375","51333.21484375","189429.734375","189429.734375","189429.734375","","","","95801.859375","95801.859375","95801.859375"
"129","96512.25","96512.25","96512.25","51349.5","51349.5","51349.5","191376.046875","191376.046875","191376.046875","","","","96323.4375","96323.4375","96323.4375"
"130","95589.625","95589.625","95589.625","51386.30859375","51386.30859375","51386.30859375","188757.6875","188757.6875","188757.6875","","","","96070.7265625","96070.7265625","96070.7265625"
"131","95752.1328125","95752.1328125","95752.1328125","51395.6171875","51395.6171875","51395.6171875","190190.515625","190190.515625","190190.515625","","","","95852.640625","95852.640625","95852.640625"
"132","95743.265625","95743.265625","95743.265625","51497.8828125","51497.8828125","51497.8828125","189996.9375","189996.9375","189996.9375","","","","96061.5546875","96061.5546875","96061.5546875"
"133","94962.2421875","94962.2421875","94962.2421875","51429.125","51429.125","51429.125","189071.125","189071.125","189071.125","","","","95772.09375","95772.09375","95772.09375"
"134","95759.6171875","95759.6171875","95759.6171875","51446.37890625","51446.37890625","51446.37890625","190261.640625","190261.640625","190261.640625","","","","96915.140625","96915.140625","96915.140625"
"135","95741.53125","95741.53125","95741.53125","51506.93359375","51506.93359375","51506.93359375","190711.828125","190711.828125","190711.828125","","","","95984.1640625","95984.1640625","95984.1640625"
"136","94886.71875","94886.71875","94886.71875","51411.88671875","51411.88671875","51411.88671875","188407.0625","188407.0625","188407.0625","","","","96168.3125","96168.3125","96168.3125"
